source,match_id,home_team,away_team,group,date,home_win_prob,draw_prob,away_win_prob,home_win_odds,draw_odds,away_win_odds,extra
worldcup-predictor,jordan_vs_argentina,Jordan,Argentina,,2026-06-27,0.035477,0.109856,0.854667,,,,"{""elo_h"": ""1775"", ""elo_a"": ""2190"", ""neutral"": ""True"", ""city"": ""Arlington"", ""pick"": ""\u5ba2\u80dc / Away""}"
worldcup-predictor,dr_congo_vs_uzbekistan,DR Congo,Uzbekistan,,2026-06-27,0.303739,0.3126,0.383661,,,,"{""elo_h"": ""1764"", ""elo_a"": ""1820"", ""neutral"": ""True"", ""city"": ""Atlanta"", ""pick"": ""\u5ba2\u80dc / Away""}"
worldcup-predictor,colombia_vs_portugal,Colombia,Portugal,,2026-06-27,0.321698,0.314933,0.363368,,,,"{""elo_h"": ""2064"", ""elo_a"": ""2060"", ""neutral"": ""True"", ""city"": ""Miami Gardens"", ""pick"": ""\u5ba2\u80dc / Away""}"
worldcup-predictor,panama_vs_england,Panama,England,,2026-06-27,0.064891,0.163733,0.771376,,,,"{""elo_h"": ""1859"", ""elo_a"": ""2095"", ""neutral"": ""True"", ""city"": ""East Rutherford"", ""pick"": ""\u5ba2\u80dc / Away""}"
worldcup-predictor,algeria_vs_austria,Algeria,Austria,,2026-06-27,0.256597,0.305828,0.437575,,,,"{""elo_h"": ""1885"", ""elo_a"": ""1885"", ""neutral"": ""True"", ""city"": ""Kansas City"", ""pick"": ""\u5ba2\u80dc / Away""}"
worldcup-predictor,croatia_vs_ghana,Croatia,Ghana,,2026-06-27,0.818126,0.135713,0.046161,,,,"{""elo_h"": ""1974"", ""elo_a"": ""1626"", ""neutral"": ""True"", ""city"": ""Philadelphia"", ""pick"": ""\u4e3b\u80dc / Home""}"
polymarket,mexico_vs_south_africa,Mexico,South Africa,,2026-04-06,0.695,0.205,0.105,,,,"{""slug"": ""fifwc-mex-rsa-2026-06-11"", ""n_markets"": 3}"
polymarket,south_korea_vs_czech_republic,South Korea,Czech Republic,,2026-04-06,0.365,0.315,0.325,,,,"{""slug"": ""fifwc-kr-cze-2026-06-11"", ""n_markets"": 3}"
polymarket,canada_vs_bosnia_and_herzegovina,Canada,Bosnia and Herzegovina,,2026-04-06,0.525,0.265,0.205,,,,"{""slug"": ""fifwc-can-bih-2026-06-12"", ""n_markets"": 3}"
polymarket,germany_vs_curaao,Germany,Curaao,,2026-04-06,0.9345,0.044,0.0235,,,,"{""slug"": ""fifwc-ger-kor-2026-06-14"", ""n_markets"": 3}"
polymarket,usa_vs_paraguay,USA,Paraguay,,2026-04-06,0.495,0.275,0.225,,,,"{""slug"": ""fifwc-usa-par-2026-06-12"", ""n_markets"": 3}"
polymarket,netherlands_vs_japan,Netherlands,Japan,,2026-04-06,0.465,0.275,0.255,,,,"{""slug"": ""fifwc-nld-jpn-2026-06-14"", ""n_markets"": 3}"
openfootball,mexico_vs_south_africa,Mexico,South Africa,A,2026-06-11,,,,,,,"{""round"": ""Matchday 1"", ""time"": ""13:00 UTC-6"", ""ground"": ""Mexico City""}"
openfootball,south_korea_vs_czech_republic,South Korea,Czech Republic,A,2026-06-11,,,,,,,"{""round"": ""Matchday 1"", ""time"": ""20:00 UTC-6"", ""ground"": ""Guadalajara (Zapopan)""}"
openfootball,czech_republic_vs_south_africa,Czech Republic,South Africa,A,2026-06-18,,,,,,,"{""round"": ""Matchday 8"", ""time"": ""12:00 UTC-4"", ""ground"": ""Atlanta""}"
openfootball,mexico_vs_south_korea,Mexico,South Korea,A,2026-06-18,,,,,,,"{""round"": ""Matchday 8"", ""time"": ""19:00 UTC-6"", ""ground"": ""Guadalajara (Zapopan)""}"
openfootball,czech_republic_vs_mexico,Czech Republic,Mexico,A,2026-06-24,,,,,,,"{""round"": ""Matchday 14"", ""time"": ""19:00 UTC-6"", ""ground"": ""Mexico City""}"
openfootball,south_africa_vs_south_korea,South Africa,South Korea,A,2026-06-24,,,,,,,"{""round"": ""Matchday 14"", ""time"": ""19:00 UTC-6"", ""ground"": ""Monterrey (Guadalupe)""}"
openfootball,canada_vs_bosnia_herzegovina,Canada,Bosnia & Herzegovina,B,2026-06-12,,,,,,,"{""round"": ""Matchday 2"", ""time"": ""15:00 UTC-4"", ""ground"": ""Toronto""}"
openfootball,qatar_vs_switzerland,Qatar,Switzerland,B,2026-06-13,,,,,,,"{""round"": ""Matchday 3"", ""time"": ""12:00 UTC-7"", ""ground"": ""San Francisco Bay Area (Santa Clara)""}"
openfootball,switzerland_vs_bosnia_herzegovina,Switzerland,Bosnia & Herzegovina,B,2026-06-18,,,,,,,"{""round"": ""Matchday 8"", ""time"": ""12:00 UTC-7"", ""ground"": ""Los Angeles (Inglewood)""}"
openfootball,canada_vs_qatar,Canada,Qatar,B,2026-06-18,,,,,,,"{""round"": ""Matchday 8"", ""time"": ""15:00 UTC-7"", ""ground"": ""Vancouver""}"
openfootball,switzerland_vs_canada,Switzerland,Canada,B,2026-06-24,,,,,,,"{""round"": ""Matchday 14"", ""time"": ""12:00 UTC-7"", ""ground"": ""Vancouver""}"
openfootball,bosnia_herzegovina_vs_qatar,Bosnia & Herzegovina,Qatar,B,2026-06-24,,,,,,,"{""round"": ""Matchday 14"", ""time"": ""12:00 UTC-7"", ""ground"": ""Seattle""}"
openfootball,brazil_vs_morocco,Brazil,Morocco,C,2026-06-13,,,,,,,"{""round"": ""Matchday 3"", ""time"": ""18:00 UTC-4"", ""ground"": ""New York/New Jersey (East Rutherford)""}"
openfootball,haiti_vs_scotland,Haiti,Scotland,C,2026-06-13,,,,,,,"{""round"": ""Matchday 3"", ""time"": ""21:00 UTC-4"", ""ground"": ""Boston (Foxborough)""}"
openfootball,scotland_vs_morocco,Scotland,Morocco,C,2026-06-19,,,,,,,"{""round"": ""Matchday 9"", ""time"": ""18:00 UTC-4"", ""ground"": ""Boston (Foxborough)""}"
openfootball,brazil_vs_haiti,Brazil,Haiti,C,2026-06-19,,,,,,,"{""round"": ""Matchday 9"", ""time"": ""20:30 UTC-4"", ""ground"": ""Philadelphia""}"
openfootball,scotland_vs_brazil,Scotland,Brazil,C,2026-06-24,,,,,,,"{""round"": ""Matchday 14"", ""time"": ""18:00 UTC-4"", ""ground"": ""Miami (Miami Gardens)""}"
openfootball,morocco_vs_haiti,Morocco,Haiti,C,2026-06-24,,,,,,,"{""round"": ""Matchday 14"", ""time"": ""18:00 UTC-4"", ""ground"": ""Atlanta""}"
openfootball,usa_vs_paraguay,USA,Paraguay,D,2026-06-12,,,,,,,"{""round"": ""Matchday 2"", ""time"": ""18:00 UTC-7"", ""ground"": ""Los Angeles (Inglewood)""}"
openfootball,australia_vs_turkey,Australia,Turkey,D,2026-06-13,,,,,,,"{""round"": ""Matchday 3"", ""time"": ""21:00 UTC-7"", ""ground"": ""Vancouver""}"
openfootball,usa_vs_australia,USA,Australia,D,2026-06-19,,,,,,,"{""round"": ""Matchday 9"", ""time"": ""12:00 UTC-7"", ""ground"": ""Seattle""}"
openfootball,turkey_vs_paraguay,Turkey,Paraguay,D,2026-06-19,,,,,,,"{""round"": ""Matchday 9"", ""time"": ""20:00 UTC-7"", ""ground"": ""San Francisco Bay Area (Santa Clara)""}"
openfootball,turkey_vs_usa,Turkey,USA,D,2026-06-25,,,,,,,"{""round"": ""Matchday 15"", ""time"": ""19:00 UTC-7"", ""ground"": ""Los Angeles (Inglewood)""}"
openfootball,paraguay_vs_australia,Paraguay,Australia,D,2026-06-25,,,,,,,"{""round"": ""Matchday 15"", ""time"": ""19:00 UTC-7"", ""ground"": ""San Francisco Bay Area (Santa Clara)""}"
openfootball,germany_vs_curaao,Germany,Curaao,E,2026-06-14,,,,,,,"{""round"": ""Matchday 4"", ""time"": ""12:00 UTC-5"", ""ground"": ""Houston""}"
openfootball,ivory_coast_vs_ecuador,Ivory Coast,Ecuador,E,2026-06-14,,,,,,,"{""round"": ""Matchday 4"", ""time"": ""19:00 UTC-4"", ""ground"": ""Philadelphia""}"
openfootball,germany_vs_ivory_coast,Germany,Ivory Coast,E,2026-06-20,,,,,,,"{""round"": ""Matchday 10"", ""time"": ""16:00 UTC-4"", ""ground"": ""Toronto""}"
openfootball,ecuador_vs_curaao,Ecuador,Curaao,E,2026-06-20,,,,,,,"{""round"": ""Matchday 10"", ""time"": ""19:00 UTC-5"", ""ground"": ""Kansas City""}"
openfootball,curaao_vs_ivory_coast,Curaao,Ivory Coast,E,2026-06-25,,,,,,,"{""round"": ""Matchday 15"", ""time"": ""16:00 UTC-4"", ""ground"": ""Philadelphia""}"
openfootball,ecuador_vs_germany,Ecuador,Germany,E,2026-06-25,,,,,,,"{""round"": ""Matchday 15"", ""time"": ""16:00 UTC-4"", ""ground"": ""New York/New Jersey (East Rutherford)""}"
