scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-11 16:52:21 UTC,2026-06-16 12:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/senegal-hOIsJLJr/#ALxYcMw2,France,Senegal,World Championship 2026,,,,MetLife Stadium,"East Rutherford, NJ",USA,"[{'1': '1.48', 'X': '4.50', '2': '6.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.46', 'X': '4.33', '2': '7.00', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.40', '2': '7.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:52:21 UTC,2026-06-16 15:00:00 UTC,https://www.oddsportal.com/football/h2h/iraq-K8aAGt6r/norway-8rP6JO0H/#n9TEVLhA,Iraq,Norway,World Championship 2026,,,,Gillette Stadium,"Foxborough, MA",USA,"[{'1': '13.00', 'X': '7.00', '2': '1.20', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '12.50', 'X': '7.00', '2': '1.21', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '14.00', 'X': '7.00', '2': '1.21', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:52:37 UTC,2026-06-16 18:00:00 UTC,https://www.oddsportal.com/football/h2h/algeria-nc87N1BR/argentina-f9OppQjp/#UP9bEsOr,Argentina,Algeria,World Championship 2026,,,,Arrowhead Stadium,"Kansas City, MO",USA,"[{'1': '1.36', 'X': '4.75', '2': '9.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.41', 'X': '4.50', '2': '7.75', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.60', '2': '9.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:52:37 UTC,2026-06-16 21:00:00 UTC,https://www.oddsportal.com/football/h2h/austria-naHiWdnt/jordan-vNcmJoU2/#OO27CLhe,Austria,Jordan,World Championship 2026,,,,Levi's Stadium,"Santa Clara, CA",USA,"[{'1': '1.30', 'X': '5.75', '2': '9.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.25', '2': '8.50', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.32', 'X': '5.50', '2': '9.50', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '1.31', 'X': '5.60', '2': '9.50', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:52:37 UTC,2026-06-17 10:00:00 UTC,https://www.oddsportal.com/football/h2h/d-r-congo-phn9mm8H/portugal-WvJrjFVN/#4zTHJLbM,Portugal,D.R. Congo,World Championship 2026,,,,NRG Stadium,"Houston, TX",USA,"[{'1': '1.27', 'X': '6.00', '2': '10.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.28', 'X': '5.75', '2': '9.75', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.28', 'X': '5.75', '2': '11.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:52:53 UTC,2026-06-17 13:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/england-j9N9ZNFA/#b5qGuKMs,England,Croatia,World Championship 2026,,,,AT&T Stadium,"Arlington, TX",USA,"[{'1': '1.73', 'X': '3.80', '2': '4.75', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.71', 'X': '3.70', '2': '4.80', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.71', 'X': '3.85', '2': '4.80', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:52:53 UTC,2026-06-17 16:00:00 UTC,https://www.oddsportal.com/football/h2h/ghana-nNBjHale/panama-OWKqbCfi/#jD1Nwbif,Ghana,Panama,World Championship 2026,,,,BMO Field,"Toronto, ON",Canada,"[{'1': '2.10', 'X': '3.50', '2': '3.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.30', '2': '3.60', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.45', '2': '3.60', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.40', '2': '3.50', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:52:53 UTC,2026-06-17 19:00:00 UTC,https://www.oddsportal.com/football/h2h/colombia-G02s4PCS/uzbekistan-EZYKKRMc/#jaMlPbx1,Uzbekistan,Colombia,World Championship 2026,,,,Estadio Banorte,Mexico City,Mexico,"[{'1': '8.50', 'X': '4.50', '2': '1.40', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '7.75', 'X': '4.60', '2': '1.40', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.70', '2': '1.40', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:09 UTC,2026-06-18 09:00:00 UTC,https://www.oddsportal.com/football/h2h/czech-republic-6LHwBDGU/south-africa-W2ijYvlr/#8nrACRTs,Czech Republic,South Africa,World Championship 2026,,,,Mercedes-Benz Stadium,"Atlanta, GA",USA,"[{'1': '1.91', 'X': '3.25', '2': '4.20', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.98', 'X': '3.30', '2': '3.90', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.40', '2': '4.20', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:53:09 UTC,2026-06-18 12:00:00 UTC,https://www.oddsportal.com/football/h2h/bosnia-herzegovina-fqe7WYTr/switzerland-rHJ2vy1B/#djmY6NcJ,Switzerland,Bosnia & Herzegovina,World Championship 2026,,,,SoFi Stadium,"Inglewood, CA",USA,"[{'1': '1.57', 'X': '4.00', '2': '5.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.55', 'X': '3.60', '2': '5.00', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.62', 'X': '4.10', '2': '5.50', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '1.56', 'X': '4.00', '2': '6.00', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
